REID,Pin Num,Land Value , Bldg Value , Misc Imprv Value ,  Deferred & Exempt Value,Total Taxable Value
3,9500693882,120000,0,0,0,120000
6,9501307209,5000,0,0,0,5000
12,8601563225,40087,0,0,27237,12850
13,9500489419,3000,0,0,0,3000
15,8689907476,597639,0,0,597639,0
16,9501203224,17000,0,0,0,17000
33,9501308844,247000,0,18750,0,265750
34,9501317614,30000,0,10199,0,40199
39,9500487663,150000,0,0,0,150000
42,9500488658,150000,0,16062,0,166062
43,9500390371,40000,0,2002,0,42002
47,9500383321,170000,0,14530,0,184530
48,9500382265,170000,0,0,0,170000
60,8695228872,15000,0,0,0,15000
61,8695229687,3498,0,0,0,3498
63,8695320971,1500,0,0,0,1500
67,9501301782,4000,0,0,0,4000
69,9500593211,150000,0,0,0,150000
70,9501303147,52000,0,0,0,52000
75,9500170349,195500,0,0,0,195500
84,9500798852,13500,0,0,0,13500
88,8695212241,10370,0,0,0,10370
89,9501212893,13000,0,0,0,13000
90,9501304019,52000,0,0,0,52000
98,8676851082,12000,0,0,0,12000
110,9500582753,3000,0,0,0,3000
114,9500392662,136000,0,18750,0,154750
119,9500191539,862500,0,46997,0,909497
121,9500272610,3163,0,0,0,3163
122,9500374761,5000,0,0,0,5000
123,9500697750,120000,0,18750,0,138750
124,9500375739,5000,0,0,0,5000
125,9500376837,13000,0,0,0,13000
132,9501315901,30000,0,7399,0,37399
133,9500372799,2500,0,0,0,2500
140,8653138501,18300,0,55,4650,13705
149,9500178999,102000,0,19363,0,121363
150,9500076214,75000,0,10065,0,85065
161,9500499036,150000,0,18750,0,168750
169,9500372560,5000,0,0,0,5000
170,9500371483,2625,0,0,0,2625
177,9500670720,186000,0,0,0,186000
179,9500180789,25000,0,0,0,25000
183,9500498708,84000,0,0,0,84000
186,9500482391,450000,0,40469,0,490469
190,9501318474,150000,0,0,0,150000
197,9501309478,150000,0,18752,0,168752
205,9500698547,12000,0,18750,0,30750
209,9501504398,75000,0,500,0,75500
210,9500378980,17000,0,0,0,17000
214,9501509916,2875,0,0,0,2875
219,9501519076,2875,0,0,0,2875
220,9501610169,26250,0,10000,0,36250
221,9501611117,105000,0,60655,0,165655
223,8695435221,110000,0,16502,0,126502
224,9501610093,2875,0,0,0,2875
225,9501600925,2875,0,0,0,2875
226,9500273543,3163,0,0,0,3163
227,9500272665,3163,0,0,0,3163
228,9500274608,150000,0,0,0,150000
231,9501502578,2500,0,0,0,2500
233,9500274399,9800,0,0,0,9800
236,9500473589,3465,0,0,0,3465
251,9500373516,2500,0,0,0,2500
259,9500496348,120000,0,0,0,120000
273,9500594019,150000,0,9720,0,159720
274,9500176811,102000,0,250,0,102250
275,9500176845,90000,0,0,0,90000
278,9500295483,120000,0,21250,0,141250
286,9500295175,136000,0,0,0,136000
288,9500495355,51000,0,0,0,51000
290,9500373938,150000,0,0,0,150000
292,9501305874,19500,0,0,0,19500
293,9500383387,170000,0,18750,0,188750
295,9501516155,20000,0,0,0,20000
296,9500598904,160000,0,0,0,160000
298,9501516185,10000,0,0,0,10000
300,7654959409,6734,0,0,5704,1030
301,9500271349,106560,0,19050,0,125610
306,9999999999,66287,0,0,33026,33261
308,9501318627,500,0,0,0,500
309,9501316752,30000,0,5900,0,35900
310,9500177766,110500,0,21251,0,131751
315,9501504605,5000,0,0,0,5000
317,9501612170,288750,0,103480,0,392230
318,9501417006,253000,0,26828,0,279828
320,7629957611,1714950,0,0,1261441,453509
323,7663642073,14000,0,0,0,14000
325,9500698933,12000,0,0,0,12000
328,8683547484,36720,0,800,0,37520
332,9500591339,37500,0,0,0,37500
333,9501410409,130000,0,18750,0,148750
336,9500274653,150000,0,15770,0,165770
350,9500396180,85000,0,0,0,85000
352,9501413638,186000,0,18750,0,204750
357,9500673800,17000,0,0,0,17000
359,9501213646,15000,0,0,0,15000
362,9501318760,500,0,0,0,500
364,9501315837,30000,0,4600,0,34600
374,9999999999,156000,0,6500,0,162500
382,9501412793,138000,0,46695,0,184695
384,9501218288,85000,0,0,0,85000
